playname	title	act	scene	line	speaker	speech
the third part of king henry the sixth	3 king henry vi, act 5 scene 6	5.0	6.0	2.0	gloucester	['sirrah, leave us to ourselves: we must confer.', '']
the third part of king henry the sixth	3 king henry vi, act 5 scene 6	5.0	6.0	3.0	king henry vi	"['', 'so', 'flies the reckless shepherd from the wolf;', '', 'so', 'first the harmless sheep doth', 'yield', 'his fleece', '', 'and', '', 'next', ""his throat unto the butcher's knife."", '', 'what', 'scene of death hath roscius now to act?', '', '']"
the third part of king henry the sixth	3 king henry vi, act 5 scene 6	5.0	6.0	4.0	gloucester	['', 'suspicion', 'always haunts the guilty mind;', '', 'the', 'thief doth fear each bush an officer.', '', '']
the third part of king henry the sixth	3 king henry vi, act 5 scene 6	5.0	6.0	5.0	king henry vi	"['', 'the', 'bird that hath been limed in a bush,', '', 'with', 'trembling wings misdoubteth every bush;', '', 'and', 'i, the hapless male to one sweet bird,', '', 'have', 'now the fatal object in my', 'eye', '', '', 'where', ""my poor young was limed, was caught and kill'd."", '', '']"
the third part of king henry the sixth	3 king henry vi, act 5 scene 6	5.0	6.0	6.0	gloucester	"['why, what a peevish fool was that of crete,', '', 'that', 'taught his son the', 'office', 'of a fowl!', '', 'an', ""yet, for all his wings, the fool was drown'd."", '', '']"
the third part of king henry the sixth	3 king henry vi, act 5 scene 6	5.0	6.0	7.0	king henry vi	"['i, daedalus; my poor boy, icarus;', '', 'thy', 'father, minos, that denied our course;', '', 'the', 'sun that', 'sear', ""'d the wings of my sweet boy"", '', 'thy', 'brother edward, and thyself the sea', '', 'whose', 'envious', 'gulf', 'did swallow up his life.', 'ah, kill me with thy weapon, not with words!', '', 'my', '', 'breast', ""can better brook thy dagger's"", 'point', '', '', 'than', 'can my ears that tragic history.', '', 'but', ""wherefore dost thou come? is't for my life?"", '', '']"
the third part of king henry the sixth	3 king henry vi, act 5 scene 6	5.0	6.0	8.0	gloucester	"['', ""think'st"", 'thou i am an executioner?', '']"
the third part of king henry the sixth	3 king henry vi, act 5 scene 6	5.0	6.0	9.0	king henry vi	['', 'a', 'persecutor, i am sure, thou art:', '', 'if', 'murdering innocents be executing,', 'why, then thou art an executioner.', '', '']
the third part of king henry the sixth	3 king henry vi, act 5 scene 6	5.0	6.0	10.0	gloucester	"['', 'thy', ""son i kill'd for his presumption."", '']"
the third part of king henry the sixth	3 king henry vi, act 5 scene 6	5.0	6.0	11.0	king henry vi	"['', 'hadst', ""thou been kill'd when first thou didst presume,"", '', 'thou', 'hadst not lived to kill a son of mine.', '', 'and', 'thus i prophesy, that many a thousand,', '', 'which', 'now mistrust no parcel of my fear,', '', 'and', ""many an old man's sigh and many a"", 'widow', ""'s,"", '', 'and', ""many an orphan's water-standing eye--"", '', 'men', 'for their sons, wives for their husbands,', '', 'and', 'orphans for their parents', 'timeless', 'death--', '', 'shall', 'rue the hour that ever thou wast born.', '', 'the', ""owl shriek'd at thy birth,--an evil"", 'sign', ';', '', 'the', 'night-crow cried, aboding luckless time;', '', 'dogs', ""howl'd, and hideous tempest shook down trees;"", '', 'the', 'raven', 'rook', ""'d her on the chimney's top,"", '', 'and', 'chattering pies in dismal discords sung.', '', 'thy', ""mother felt more than a mother's pain,"", ""and, yet brought forth less than a mother's hope,"", '', 'to', '', 'wit', ', an indigested and deformed lump,', '', 'not', 'like the fruit of such a goodly tree.', '', 'teeth', 'hadst thou in thy head when thou wast born,', '', 'to', 'signify thou camest to bite the world:', 'and, if the rest be true which i have heard,', '', 'thou', 'camest--', '', '']"
the third part of king henry the sixth	3 king henry vi, act 5 scene 6	5.0	6.0	12.0	gloucester	"['', ""i'll"", 'hear no more: die, prophet in thy speech:', '']"
the third part of king henry the sixth	3 king henry vi, act 5 scene 6	5.0	6.0	13.0	king henry vi	['ay, and for much more slaughter after this.', '', 'god', 'forgive my sins, and pardon thee!', '', '']
the third part of king henry the sixth	3 king henry vi, act 5 scene 6	5.0	6.0	14.0	gloucester	"['what, will the aspiring blood of lancaster', '', 'sink', 'in the ground? i', 'thought', 'it would have mounted.', '', 'see', ""how my sword weeps for the poor king's death!"", 'o, may such purple tears be alway shed', '', 'from', 'those that', 'wish', 'the downfall of our house!', '', 'if', 'any spark of life be yet remaining,', 'down, down to hell; and say i sent thee thither:', '', '']"
the third part of king henry the sixth	3 king henry vi, act 5 scene 7	5.0	7.0	0.0	king edward iv	"['', 'once', '', 'more', ""we sit in england's royal throne,"", '', 're-purchased', 'with the blood of enemies.', '', 'what', ""valiant foemen, like to autumn's corn,"", '', 'have', 'we', 'mow', ""'d down, in tops of all their"", 'pride', '!', '', 'three', ""dukes of somerset, threefold renown'd"", '', 'for', 'hardy and undoubted champions;', '', 'two', 'cliffords, as the father and the son,', '', 'and', 'two northumberlands; two braver men', '', ""ne'er"", ""spurr'd their coursers at the trumpet's sound;"", '', 'with', 'them, the two', 'brave', 'bears, warwick and montague,', '', 'that', ""in their chains fetter'd the kingly lion"", '', 'and', ""made the forest tremble when they roar'd."", '', 'thus', 'have we swept suspicion from our seat', '', 'and', 'made our footstool of security.', '', 'come', 'hither, bess, and let me kiss my boy.', '', 'young', 'ned, for thee, thine uncles and myself', '', 'have', 'in our armours', 'watch', ""'d the winter's night,"", '', 'went', ""all afoot in summer's scalding"", 'heat', ',', '', 'that', 'thou mightst repossess the crown in peace;', '', 'and', 'of our labours thou shalt reap the gain.', '', '']"
the third part of king henry the sixth	3 king henry vi, act 5 scene 7	5.0	7.0	1.0	gloucester	"['', '[aside]', ""i'll blast his harvest, if your head were laid;"", '', 'for', ""yet i am not look'd on in the world."", '', 'this', ""shoulder was ordain'd so"", 'thick', 'to heave;', '', 'and', 'heave it shall some weight, or break my back:', '', 'work', 'thou the way,--and thou shalt execute.', '', '']"
the third part of king henry the sixth	3 king henry vi, act 5 scene 7	5.0	7.0	2.0	king edward iv	['', 'clarence', 'and gloucester, love my lovely queen;', '', 'and', 'kiss your princely', 'nephew', ', brothers both.', '', '']
the third part of king henry the sixth	3 king henry vi, act 5 scene 7	5.0	7.0	3.0	clarence	['', 'the', 'duty that i', 'owe', 'unto your majesty', '', 'i', '', 'seal', 'upon the lips of this sweet babe.', '', '']
the third part of king henry the sixth	3 king henry vi, act 5 scene 7	5.0	7.0	4.0	queen elizabeth	['thanks, noble clarence; worthy brother, thanks.', '']
the third part of king henry the sixth	3 king henry vi, act 5 scene 7	5.0	7.0	5.0	gloucester	"[""and, that i love the tree from whence thou sprang'st,"", '', 'witness', 'the loving kiss i give the fruit.', '', '[aside]', ""to say the truth, so judas kiss'd his master,"", '', 'and', ""cried 'all hail!' when as he meant all harm."", '', '']"
the third part of king henry the sixth	3 king henry vi, act 5 scene 7	5.0	7.0	6.0	king edward iv	"['', 'now', 'am i', 'seated', 'as my soul delights,', '', 'having', '', 'my', '', 'country', ""'s peace and brothers' loves."", '', '']"
the third part of king henry the sixth	3 king henry vi, act 5 scene 7	5.0	7.0	7.0	clarence	"['', 'what', 'will your grace have done with margaret?', 'reignier, her father, to the king of france', '', 'hath', ""pawn'd the sicils and jerusalem,"", '', 'and', 'hither have they sent it for her ransom.', '', '']"
the third part of king henry the sixth	3 king henry vi, act 5 scene 7	5.0	7.0	8.0	king edward iv	['', 'away', 'with her, and', 'waft', 'her', 'hence', 'to france.', '', 'and', 'now what rests but that we spend the time', '', 'with', 'stately triumphs, mirthful comic shows,', '', 'such', 'as befits the pleasure of the court?', '', 'sound', 'drums and trumpets! farewell sour annoy!', '', 'for', 'here, i hope, begins our lasting joy.', '', '']
